X,Y,Z,azimuth,dip,polarity,formation
584220.43,5247907.94,1791.0,295.0,30.0,1.0,Drusberg
583610.83,5245895.41,1950.0,335.0,10.0,1.0,Garschella
583868.54,5246857.17,1835.0,310.0,28.0,1.0,Garschella
584403.0,5247462.28,1939.0,95.0,13.0,1.0,Garschella
585060.49,5246399.97,1645.0,310.0,41.0,1.0,Garschella
585272.16,5246397.33,1611.0,10.0,18.0,1.0,Garschella
585486.47,5244860.09,1537.0,80.0,20.0,1.0,Garschella
585605.53,5246288.85,1563.0,1.0,24.0,1.0,Garschella
586087.07,5243899.13,1257.0,70.0,25.0,1.0,Garschella
586478.39,5247784.8,1561.0,290.0,47.0,1.0,Garschella
586488.98,5247993.83,1509.0,130.0,31.0,1.0,Garschella
586695.35,5247806.24,1481.0,315.0,43.0,1.0,Garschella
586946.71,5246210.79,1337.0,75.0,17.0,1.0,Garschella
587330.35,5247563.35,1328.0,20.0,10.0,1.0,Garschella
587335.65,5247372.85,1371.0,320.0,40.0,1.0,Garschella
587385.92,5244720.13,1212.0,80.0,22.0,1.0,Garschella
587388.56,5246252.07,1315.0,40.0,22.0,1.0,Garschella
587499.69,5246814.84,1380.0,5.0,21.0,1.0,Garschella
587729.88,5247447.2,1245.0,90.0,20.0,1.0,Garschella
589159.0,5246800.0,1062.0,110.0,24.0,1.0,Garschella
590239.45,5246624.87,1051.0,50.0,21.0,1.0,Garschella
590300.31,5246765.1,987.0,10.0,25.0,1.0,Garschella
584234.19,5244960.64,1868.0,20.0,14.0,1.0,Schrattenkalk
